city,industry,role,experience_years,salary_lpa,primary_ai_tool,ai_adopted
Sydney,Manufacturing,Data Scientist,7,15.8,TensorFlow,1
Melbourne,E-commerce,AI Engineer,10,26.11,Azure AI,1
Melbourne,EdTech,ML Engineer,2,12.26,Scikit-learn,1
Newcastle,Finance,ML Engineer,9,26.02,Scikit-learn,1
Townsville,Manufacturing,AI Engineer,11,25.54,Azure AI,1
Perth,Finance,AI Researcher,6,21.99,PyTorch,1
Townsville,Healthcare,AI Engineer,11,26.35,ChatGPT,0
Cairns,Finance,Data Scientist,4,7.08,PyTorch,0
Townsville,Healthcare,AI Engineer,6,21.42,ChatGPT,1
Sydney,EdTech,Data Scientist,5,16.55,AWS AI,1
Wollongong,IT,Data Analyst,4,9.39,Scikit-learn,1
Newcastle,Finance,ML Engineer,8,23.6,ChatGPT,1
Cairns,IT,ML Engineer,11,29.33,PyTorch,0
Cairns,Manufacturing,AI Engineer,11,26.1,PyTorch,1
Brisbane,Finance,ML Engineer,11,27.78,TensorFlow,1
Newcastle,Healthcare,AI Researcher,11,34.57,TensorFlow,1
Townsville,E-commerce,Data Scientist,9,22.65,AWS AI,1
Wollongong,IT,Data Scientist,10,24.33,Azure AI,1
Gold Coast,E-commerce,AI Researcher,6,21.55,PyTorch,0
Sydney,E-commerce,Data Analyst,5,13.26,AWS AI,1
Adelaide,Manufacturing,AI Engineer,7,17.4,AWS AI,1
Wollongong,Manufacturing,Data Analyst,9,21.49,PyTorch,0
Townsville,Finance,Data Analyst,5,15.42,Azure AI,1
Melbourne,EdTech,Data Analyst,2,4.76,AWS AI,1
Townsville,Manufacturing,AI Engineer,2,7.36,AWS AI,1
Melbourne,EdTech,AI Engineer,2,8.48,PyTorch,0
Wollongong,Healthcare,Data Analyst,3,10.34,AWS AI,1
Melbourne,Manufacturing,ML Engineer,10,23.63,TensorFlow,1
Perth,E-commerce,ML Engineer,9,24.78,PyTorch,1
Cairns,IT,AI Researcher,4,17.16,AWS AI,1
Townsville,Manufacturing,Data Scientist,1,6.52,TensorFlow,1
Adelaide,Healthcare,ML Engineer,9,24.35,TensorFlow,1
Melbourne,Manufacturing,AI Engineer,6,16.58,Azure AI,1
Townsville,Manufacturing,AI Engineer,1,6.51,PyTorch,0
Brisbane,Healthcare,ML Engineer,6,20.3,PyTorch,1
Newcastle,E-commerce,AI Engineer,8,19.75,PyTorch,1
Newcastle,Healthcare,Data Analyst,9,20.89,TensorFlow,1
Cairns,Manufacturing,Data Analyst,3,15.16,PyTorch,1
Perth,E-commerce,AI Engineer,9,23.21,TensorFlow,1
Sydney,IT,AI Researcher,2,9.53,ChatGPT,1
Gold Coast,E-commerce,AI Researcher,7,23.91,ChatGPT,0
