city,industry,role,experience_years,salary_lpa,primary_ai_tool,ai_adopted
Mumbai,Healthcare,Data Analyst,6,14.78,PyTorch,1
Chennai,EdTech,AI Engineer,3,11.64,TensorFlow,1
Hyderabad,Finance,ML Engineer,5,17.07,AWS AI,0
Mumbai,Healthcare,Data Scientist,8,20.07,TensorFlow,0
Bangalore,Healthcare,AI Engineer,11,27.28,Azure AI,1
Delhi,E-commerce,Data Scientist,4,12.93,ChatGPT,1
Hyderabad,E-commerce,ML Engineer,1,8.8,Scikit-learn,0
Chennai,IT,AI Engineer,7,18.42,Scikit-learn,0
Hyderabad,Manufacturing,ML Engineer,3,11.24,Azure AI,1
Delhi,Finance,Data Analyst,9,22.29,AWS AI,1
Pune,Finance,Data Analyst,7,18.77,Azure AI,1
Hyderabad,E-commerce,Data Analyst,8,20.4,Azure AI,0
Mumbai,Healthcare,Data Scientist,0,6.16,ChatGPT,1
Bangalore,E-commerce,ML Engineer,9,27.78,ChatGPT,1
Pune,Healthcare,Data Scientist,1,6.64,Scikit-learn,1
Bangalore,Healthcare,AI Engineer,10,24.18,Azure AI,1
Chennai,Healthcare,Data Scientist,2,7.13,ChatGPT,1
Hyderabad,EdTech,ML Engineer,9,27.57,PyTorch,0
Chennai,EdTech,Data Scientist,6,17.18,Azure AI,1
Mumbai,Healthcare,AI Researcher,3,12.02,AWS AI,1
Hyderabad,E-commerce,AI Researcher,9,26.78,Scikit-learn,0
Hyderabad,IT,ML Engineer,10,27.37,AWS AI,0
Bangalore,Healthcare,AI Engineer,8,23.55,AWS AI,1
Bangalore,Healthcare,AI Researcher,8,25.42,TensorFlow,1
Delhi,E-commerce,Data Scientist,10,23.67,Scikit-learn,0
Bangalore,EdTech,AI Engineer,1,6.71,ChatGPT,1
Pune,IT,Data Scientist,10,24.87,ChatGPT,0
Hyderabad,Finance,AI Researcher,1,12.69,AWS AI,0
Chennai,EdTech,AI Engineer,3,8.36,Scikit-learn,1
Bangalore,IT,AI Engineer,5,13.66,Scikit-learn,1
Delhi,Healthcare,Data Analyst,2,6.81,PyTorch,1
Bangalore,IT,Data Analyst,6,15.64,TensorFlow,1
Chennai,Finance,Data Analyst,10,23.32,PyTorch,0
Hyderabad,E-commerce,Data Scientist,9,24.35,ChatGPT,0
Bangalore,IT,AI Researcher,11,32.52,PyTorch,1
Chennai,IT,Data Analyst,2,10.56,Scikit-learn,0
Mumbai,Manufacturing,Data Analyst,7,19.45,ChatGPT,1
Delhi,Manufacturing,ML Engineer,1,11.69,PyTorch,1
Pune,E-commerce,Data Analyst,8,19.05,PyTorch,1
Mumbai,Healthcare,Data Analyst,0,6.57,AWS AI,0
Mumbai,Finance,AI Researcher,5,21.82,Azure AI,1
Pune,E-commerce,Data Scientist,11,26.94,Azure AI,1
Chennai,EdTech,AI Engineer,3,10.98,AWS AI,1
Pune,IT,AI Researcher,8,26.38,AWS AI,1
Pune,IT,Data Analyst,2,8.1,PyTorch,0
Chennai,Finance,ML Engineer,8,25.55,PyTorch,1
Delhi,Finance,ML Engineer,7,22.12,ChatGPT,1
Chennai,EdTech,AI Engineer,8,18.71,TensorFlow,1
Pune,E-commerce,ML Engineer,2,13.03,ChatGPT,0
Hyderabad,Finance,AI Engineer,11,34.71,TensorFlow,1
Pune,Manufacturing,AI Engineer,5,19.63,TensorFlow,1
Delhi,Manufacturing,Data Analyst,0,3.0,AWS AI,1
Hyderabad,EdTech,Data Scientist,4,11.92,Scikit-learn,1
Hyderabad,EdTech,AI Engineer,3,12.55,TensorFlow,1
Delhi,Finance,Data Scientist,2,6.38,Azure AI,0
Hyderabad,EdTech,Data Scientist,6,13.02,ChatGPT,0
Bangalore,EdTech,ML Engineer,0,7.36,Azure AI,1
