city,industry,role,experience_years,salary_lpa,primary_ai_tool,ai_adopted
New York,Manufacturing,Data Scientist,7,17.3,TensorFlow,1
Los Angeles,E-commerce,AI Engineer,10,27.61,Azure AI,1
Los Angeles,EdTech,ML Engineer,2,14.76,Scikit-learn,1
San Antonio,Finance,ML Engineer,9,28.52,Scikit-learn,1
San Jose,Manufacturing,AI Engineer,11,27.04,Azure AI,1
Houston,Finance,AI Researcher,6,24.49,PyTorch,1
San Jose,Healthcare,AI Engineer,11,27.85,ChatGPT,0
Dallas,Finance,Data Scientist,4,8.58,PyTorch,0
San Jose,Healthcare,AI Engineer,6,22.92,ChatGPT,1
New York,EdTech,Data Scientist,5,18.05,AWS AI,1
San Diego,IT,Data Analyst,4,10.89,Scikit-learn,1
San Antonio,Finance,ML Engineer,8,26.1,ChatGPT,1
Dallas,IT,ML Engineer,11,31.83,PyTorch,0
Dallas,Manufacturing,AI Engineer,11,27.6,PyTorch,1
Chicago,Finance,ML Engineer,11,30.28,TensorFlow,1
San Antonio,Healthcare,AI Researcher,11,37.07,TensorFlow,1
San Jose,E-commerce,Data Scientist,9,24.15,AWS AI,1
San Diego,IT,Data Scientist,10,25.83,Azure AI,1
Philadelphia,E-commerce,AI Researcher,6,24.05,PyTorch,0
New York,E-commerce,Data Analyst,5,14.76,AWS AI,1
Phoenix,Manufacturing,AI Engineer,7,18.9,AWS AI,1
San Diego,Manufacturing,Data Analyst,9,22.99,PyTorch,0
San Jose,Finance,Data Analyst,5,16.92,Azure AI,1
Los Angeles,EdTech,Data Analyst,2,6.26,AWS AI,1
San Jose,Manufacturing,AI Engineer,2,8.86,AWS AI,1
Los Angeles,EdTech,AI Engineer,2,9.98,PyTorch,0
San Diego,Healthcare,Data Analyst,3,11.84,AWS AI,1
Los Angeles,Manufacturing,ML Engineer,10,26.13,TensorFlow,1
Houston,E-commerce,ML Engineer,9,27.28,PyTorch,1
Dallas,IT,AI Researcher,4,19.66,AWS AI,1
San Jose,Manufacturing,Data Scientist,1,8.02,TensorFlow,1
Phoenix,Healthcare,ML Engineer,9,26.85,TensorFlow,1
Los Angeles,Manufacturing,AI Engineer,6,18.08,Azure AI,1
San Jose,Manufacturing,AI Engineer,1,8.01,PyTorch,0
Chicago,Healthcare,ML Engineer,6,22.8,PyTorch,1
San Antonio,E-commerce,AI Engineer,8,21.25,PyTorch,1
San Antonio,Healthcare,Data Analyst,9,22.39,TensorFlow,1
Dallas,Manufacturing,Data Analyst,3,16.66,PyTorch,1
Houston,E-commerce,AI Engineer,9,24.71,TensorFlow,1
New York,IT,AI Researcher,2,12.03,ChatGPT,1
Philadelphia,E-commerce,AI Researcher,7,26.41,ChatGPT,0
San Jose,Finance,ML Engineer,3,13.17,TensorFlow,0
San Antonio,E-commerce,AI Researcher,0,9.96,Azure AI,1
San Jose,E-commerce,AI Researcher,3,19.17,ChatGPT,0
San Diego,Finance,AI Engineer,9,24.73,PyTorch,1
Los Angeles,EdTech,ML Engineer,9,25.8,PyTorch,1
New York,E-commerce,AI Researcher,3,16.06,AWS AI,1
San Diego,Manufacturing,ML Engineer,2,17.24,AWS AI,1
New York,IT,Data Scientist,2,9.68,AWS AI,0
Dallas,IT,Data Scientist,0,7.44,Azure AI,1
Chicago,EdTech,AI Researcher,5,20.25,PyTorch,1
Dallas,IT,ML Engineer,4,14.58,ChatGPT,0
Houston,E-commerce,Data Scientist,9,20.9,AWS AI,1
San Diego,EdTech,Data Analyst,5,18.71,ChatGPT,1
New York,Finance,Data Scientist,10,23.62,TensorFlow,1
Philadelphia,EdTech,ML Engineer,6,18.72,AWS AI,1
San Diego,Manufacturing,Data Analyst,11,25.7,Azure AI,1
Phoenix,Healthcare,AI Researcher,11,32.08,AWS AI,0
New York,Manufacturing,Data Scientist,2,6.31,Scikit-learn,1
Houston,Finance,ML Engineer,4,13.84,AWS AI,1
Dallas,Healthcare,Data Scientist,1,6.76,ChatGPT,1
San Jose,Finance,AI Researcher,0,11.29,AWS AI,1
